t_ms,sum_junct,D,sat,G,G2,U,sum_junct2,Dz
1.88,0,0,0,0,16,0,0,0
4.17,0,0,0,0,-19,0,0,0
6.46,0,0,0,0,18,0,0,0
8.74,0,0,0,0,18,0,0,0
11.00,0,0,0,0,26,0,0,0
13.31,0,0,0,0,-2,0,0,0
15.58,0,0,0,0,27,0,0,0
17.90,0,0,0,0,18,0,0,0
20.22,0,0,0,0,13,0,0,0
22.54,0,0,0,0,3,0,0,0
24.82,0,0,0,0,-1,0,0,0
27.09,0,0,0,0,14,0,0,0
29.41,0,0,0,0,13,0,0,0
31.73,0,0,0,0,6,0,0,0
33.99,0,0,0,0,17,0,0,0
36.31,0,0,0,0,26,0,0,0
38.61,0,0,0,0,26,0,0,0
40.94,0,0,0,0,31,0,0,0
43.25,0,0,0,0,40,0,0,0
45.56,0,0,0,0,10,0,0,0
47.89,0,0,0,0,0,0,0,0
50.15,0,0,0,0,-8,0,0,0
52.41,0,0,0,0,25,0,0,0
54.73,0,0,0,0,14,0,0,0
57.03,0,0,0,0,16,0,0,0
59.34,0,0,0,0,39,0,0,0
61.65,0,0,0,0,58,0,0,0
63.97,0,0,0,0,14,0,0,0
66.30,0,0,0,0,2,0,0,0
68.57,0,0,0,0,21,0,0,0
70.87,0,0,0,0,17,0,0,0
73.19,0,0,0,0,22,0,0,0
75.52,0,0,0,0,-6,0,0,0
77.81,0,0,0,0,11,0,0,0
80.14,0,0,0,0,34,0,0,0
82.46,0,0,0,0,10,0,0,0
84.79,0,0,0,0,29,0,0,0
87.10,0,0,0,0,-3,0,0,0
89.38,0,0,0,0,33,0,0,0
91.72,0,0,0,0,-12,0,0,0
94.06,0,0,0,0,25,0,0,0
96.37,0,0,0,0,31,0,0,0
98.69,0,0,0,0,0,0,0,0
100.97,100,5085,255,0,-5,100,100,0
103.90,100,700,255,0,-12,100,100,0
106.80,100,700,255,0,-174,100,100,0
109.76,100,700,255,0,1,100,100,0
112.62,99,657,255,1,612,100,100,0
115.53,99,693,255,1,-512,100,100,0
118.42,98,651,255,2,241,100,100,0
121.36,97,644,255,3,9732,100,100,0
124.31,96,638,255,4,222,100,100,0
127.22,95,630,255,5,4394,100,100,0
130.18,92,542,255,7,372,100,99,1
133.07,91,602,255,8,5792,100,99,1
135.99,89,554,255,10,7391,100,99,1
138.96,87,541,255,11,9065,100,98,2
141.94,85,527,255,13,8900,100,98,2
144.92,82,473,255,15,9498,100,97,3
147.90,81,533,255,16,10241,100,97,3
150.93,78,446,255,18,12957,100,96,4
